epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.277,2.0976,1.48598,1.11806,0.57156,0.21986,0.23307,0.10701,1.89349,1.13581,1.00041,0.000665839,0.000665839,0.000665839
2,368.068,1.94173,1.14212,1.03498,0.57814,0.22304,0.2389,0.10845,1.90744,1.13066,1.01159,0.00120059,0.00120059,0.00120059
3,545.219,1.8617,1.07441,1.0217,0.59307,0.23062,0.25985,0.11865,1.83141,1.03886,0.99419,0.00160334,0.00160334,0.00160334
4,715.6,1.81108,1.01907,1.00929,0.61661,0.24592,0.27677,0.12781,1.82598,0.97726,0.99475,0.001406,0.001406,0.001406
5,888.108,1.75201,0.96929,0.98975,0.65064,0.25626,0.28651,0.13767,1.72523,0.91061,0.96847,0.001208,0.001208,0.001208
6,1061.03,1.70682,0.92293,0.98044,0.64576,0.26539,0.30114,0.14421,1.68973,0.88546,0.96331,0.00101,0.00101,0.00101
7,1228.7,1.67845,0.89513,0.97127,0.66677,0.2616,0.30338,0.1506,1.67092,0.8669,0.95214,0.000812,0.000812,0.000812
8,1402.58,1.64193,0.86287,0.95878,0.66428,0.27544,0.31296,0.1564,1.62909,0.82844,0.94524,0.000614,0.000614,0.000614
9,1573.2,1.60629,0.82936,0.95598,0.67496,0.28234,0.31752,0.15698,1.61035,0.80855,0.93937,0.000416,0.000416,0.000416
10,1757.89,1.57919,0.80202,0.9469,0.67833,0.28302,0.32425,0.16362,1.58983,0.78776,0.93539,0.000218,0.000218,0.000218
