epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.599,1.86518,1.55146,1.17253,0.72323,0.40819,0.46698,0.23066,1.69901,1.0245,1.09917,0.000665839,0.000665839,0.000665839
2,660.123,1.70082,1.06594,1.09471,0.73722,0.42667,0.48876,0.24457,1.64402,1.01717,1.08752,0.00120059,0.00120059,0.00120059
3,1004.5,1.6548,0.99646,1.07958,0.74307,0.44444,0.51266,0.26191,1.59362,0.91191,1.06746,0.00160334,0.00160334,0.00160334
4,1324.14,1.61431,0.94661,1.06797,0.77282,0.46531,0.53941,0.27962,1.55446,0.87267,1.05776,0.001406,0.001406,0.001406
5,1636.87,1.57633,0.8927,1.04963,0.77412,0.47829,0.55017,0.28847,1.51752,0.80699,1.04501,0.001208,0.001208,0.001208
6,1948.18,1.54469,0.85401,1.04236,0.79499,0.48978,0.56499,0.29731,1.51949,0.78974,1.04316,0.00101,0.00101,0.00101
